epoch i trainacc pubtacc priacc loss
0 1 0.09765625  0.0875 0.08984375 3.6534986
0 2 0.08203125  0.098828125 0.091796875 3.5445294
0 3 0.1171875  0.10234375 0.10390625 3.0477834
0 4 0.11328125  0.112109375 0.121875 2.64426
0 5 0.16796875  0.1234375 0.12578125 2.3854563
0 6 0.140625  0.1234375 0.118359375 2.482059
0 7 0.1640625  0.126171875 0.13203125 2.2889402
0 8 0.1171875  0.135546875 0.13125 2.2786944
0 9 0.16015625  0.130859375 0.127734375 2.105891
0 10 0.1875  0.13203125 0.135546875 2.0533965
0 11 0.12109375  0.133984375 0.141015625 2.049428
0 12 0.13671875  0.151171875 0.149609375 1.9625499
0 13 0.17578125  0.165234375 0.1578125 1.9411638
0 14 0.171875  0.191015625 0.203515625 1.9023869
0 15 0.22265625  0.220703125 0.225 1.8709983
0 16 0.23046875  0.2359375 0.235546875 1.8686378
0 17 0.2109375  0.240625 0.2453125 1.91972
0 18 0.234375  0.253125 0.2484375 1.8715045
0 19 0.28515625  0.25390625 0.248046875 1.8005495
0 20 0.234375  0.243359375 0.2484375 1.887511
0 21 0.2890625  0.247265625 0.249609375 1.8436153
0 22 0.3046875  0.2375 0.24375 1.795172
0 23 0.25  0.244921875 0.249609375 1.8821791
0 24 0.3125  0.235546875 0.23984375 1.8491101
0 25 0.26171875  0.24140625 0.245703125 1.8472726
0 26 0.296875  0.239453125 0.237109375 1.8346075
0 27 0.28515625  0.2375 0.23984375 1.8097861
0 28 0.24609375  0.233203125 0.23984375 1.8485467
0 29 0.2890625  0.234765625 0.2328125 1.7865736
0 30 0.265625  0.231640625 0.240234375 1.8532159
0 31 0.2421875  0.22421875 0.233984375 1.8539398
0 32 0.2265625  0.23125 0.227734375 1.855098
0 33 0.26171875  0.2265625 0.228515625 1.7806888
0 34 0.23046875  0.230078125 0.235546875 1.872816
0 35 0.2578125  0.236328125 0.24296875 1.8685044
0 36 0.28125  0.235546875 0.240625 1.8113207
0 37 0.25  0.236328125 0.2484375 1.8095503
0 38 0.22265625  0.2359375 0.239453125 1.8453873
0 39 0.19921875  0.2453125 0.24609375 1.8919299
0 40 0.2421875  0.233984375 0.235546875 1.8603574
0 41 0.296875  0.2375 0.2421875 1.7733208
0 42 0.2421875  0.243359375 0.242578125 1.8385949
0 43 0.2109375  0.238671875 0.248828125 1.8717208
0 44 0.3125  0.2421875 0.253125 1.8401392
0 45 0.26953125  0.237890625 0.24296875 1.8230138
0 46 0.2578125  0.239453125 0.235546875 1.8013813
0 47 0.27734375  0.236328125 0.2359375 1.8001852
0 48 0.26953125  0.23671875 0.241015625 1.7890962
0 49 0.27734375  0.237890625 0.238671875 1.8227237
0 50 0.26171875  0.23359375 0.237890625 1.8002322
0 51 0.24609375  0.24609375 0.234765625 1.8047512
0 52 0.28515625  0.228515625 0.234375 1.7992183
0 53 0.3125  0.230078125 0.23671875 1.8014936
0 54 0.27734375  0.24453125 0.236328125 1.8023835
0 55 0.22265625  0.233984375 0.233984375 1.8345245
0 56 0.296875  0.240625 0.241015625 1.7675943
0 57 0.265625  0.25 0.23984375 1.8059742
0 58 0.23046875  0.241015625 0.2453125 1.7871369
0 59 0.30859375  0.244921875 0.2515625 1.7397469
0 60 0.265625  0.248828125 0.2515625 1.8054148
0 61 0.25390625  0.2421875 0.25703125 1.7943764
0 62 0.22265625  0.25 0.2546875 1.8537806
0 63 0.29296875  0.251171875 0.254296875 1.7623273
0 64 0.29296875  0.2546875 0.259375 1.7947402
0 65 0.2578125  0.2578125 0.262109375 1.7751219
0 66 0.2734375  0.265234375 0.2578125 1.7433394
0 67 0.2890625  0.259765625 0.27109375 1.7683568
0 68 0.265625  0.263671875 0.258203125 1.7832469
